"","Value","Position","Age.x","Mins_Per_90","Tkl_Tackles","TklW_Tackles","Def 3rd_Tackles","Mid 3rd_Tackles","Att 3rd_Tackles","Tkl_Challenges","Att_Challenges","Tkl_percent_Challenges","Lost_Challenges","Blocks_Blocks","Sh_Blocks","Pass_Blocks","Int","Tkl+Int","Clr","Err"
"1",1.8e+08,"FW",24,28.4,6,3,0,3,3,2,3,66.7,1,11,1,10,2,8,16,0
"2",1.5e+08,"FW",24,31.7,31,20,11,10,10,13,31,41.9,18,30,0,30,13,44,18,1
"3",1.4e+08,"FW",22,32.4,66,35,22,24,20,26,59,44.1,33,43,2,41,15,81,24,1
"4",1.3e+08,"MF",28,32.6,70,43,25,33,12,29,60,48.3,31,32,8,24,26,96,41,4
"5",1.2e+08,"MF",25,35.8,83,51,37,38,8,32,57,56.1,25,37,11,26,44,127,52,0
"6",1.1e+08,"MF",25,34.3,49,17,18,21,10,17,58,29.3,41,23,1,22,15,64,5,0
"7",9e+07,"FW",24,29.4,24,13,5,8,11,8,32,25,24,30,0,30,2,26,14,1
"8",8.5e+07,"MF",26,36.3,88,53,45,32,11,40,77,51.9,37,52,14,38,35,123,20,0
"9",8e+07,"MF",22,0.1,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0
"10",8e+07,"MF",22,29,23,12,9,6,8,8,19,42.1,11,20,2,18,20,43,13,2
"11",8e+07,"DF",23,38,41,26,28,12,1,20,27,74.1,7,32,17,15,29,70,81,3
"12",8e+07,"DF",27,28.4,39,20,14,21,4,19,26,73.1,7,32,17,15,30,69,77,0
"13",7.5e+07,"DF",22,25.9,55,33,21,24,10,21,38,55.3,17,36,12,24,27,82,37,3
"14",7.5e+07,"FW",24,25.1,5,0,2,1,2,2,8,25,6,16,1,15,6,11,13,0
"15",7.5e+07,"MF",23,24.5,50,22,22,18,10,27,65,41.5,38,36,13,23,17,67,28,0
"16",7.5e+07,"MF",23,23.4,32,19,12,12,8,16,50,32,34,37,2,35,15,47,16,1
"17",7.5e+07,"MF",25,28.9,99,55,35,50,14,59,125,47.2,66,65,8,57,35,134,25,1
"18",7.5e+07,"FW",27,29.2,35,25,5,17,13,7,30,23.3,23,15,0,15,3,38,8,0
"19",7.5e+07,"MF",22,31.8,91,46,38,42,11,36,60,60,24,59,25,34,37,128,44,4
"20",7e+07,"MF",30,28.6,51,23,13,25,13,25,57,43.9,32,32,4,28,17,68,15,1
"21",7e+07,"MF",25,29.3,35,15,7,21,7,14,39,35.9,25,26,1,25,20,55,22,0
"22",7e+07,"FW",23,22.4,30,24,9,12,9,13,32,40.6,19,23,1,22,5,35,9,1
"23",7e+07,"DF",26,33.8,48,28,24,22,2,17,22,77.3,5,44,33,11,31,79,100,1
"24",7e+07,"MF",26,33.3,58,38,21,27,10,25,53,47.2,28,32,8,24,23,81,18,2
"25",7e+07,"MF",27,23.7,33,19,5,18,10,15,29,51.7,14,15,3,12,13,46,10,1
"26",7e+07,"DF",25,23.9,39,26,26,11,2,27,87,31,60,22,2,20,31,70,48,5
"27",7e+07,"FW",25,22.7,22,12,2,10,10,11,23,47.8,12,18,6,12,3,25,9,0
"28",7e+07,"MF",29,34.6,68,38,27,25,16,30,88,34.1,58,49,6,43,27,95,50,2
"29",6.5e+07,"MF",27,29.1,71,48,38,26,7,25,52,48.1,27,28,1,27,21,92,28,2
"30",6.5e+07,"FW",28,35.7,12,7,0,5,7,5,11,45.5,6,26,4,22,4,16,20,0
"31",6.5e+07,"DF",26,31,66,40,35,25,6,32,44,72.7,12,46,22,24,44,110,106,1
"32",6.5e+07,"FW",27,16.4,24,17,11,5,8,5,18,27.8,13,23,1,22,13,37,12,0
"33",6.5e+07,"FW",22,17.7,39,22,13,12,14,9,20,45,11,14,0,14,9,48,5,0
"34",6.5e+07,"FW",21,24,11,7,2,3,6,5,13,38.5,8,9,1,8,1,12,19,0
"35",6.5e+07,"MF",26,4.9,5,4,0,4,1,1,2,50,1,4,1,3,2,7,4,0
"36",6e+07,"FW",28,11.2,13,8,6,7,0,6,12,50,6,13,2,11,6,19,5,0
"37",6e+07,"FW",23,32.1,55,34,16,28,11,22,64,34.4,42,27,0,27,7,62,7,0
"38",6e+07,"FW",26,25.2,19,12,9,4,6,9,26,34.6,17,15,1,14,4,23,21,0
"39",5.5e+07,"DF",26,33.2,48,28,20,22,6,26,58,44.8,32,48,22,26,32,80,77,1
"40",5.5e+07,"MF",26,22.8,35,17,4,18,13,15,31,48.4,16,27,2,25,11,46,6,0
"41",5.5e+07,"FW",25,24.2,12,5,5,4,3,4,22,18.2,18,8,1,7,9,21,6,0
"42",5.5e+07,"FW",24,30.7,62,33,19,20,23,25,67,37.3,42,24,1,23,18,80,2,1
"43",5.5e+07,"FW",32,28.2,17,11,1,8,8,6,21,28.6,15,19,1,18,2,19,1,0
"44",5.5e+07,"FW",25,18.3,27,17,8,14,5,8,25,32,17,21,4,17,14,41,7,0
"45",5.5e+07,"FW",24,16.8,7,3,3,2,2,5,15,33.3,10,5,1,4,5,12,2,0
"46",5.5e+07,"MF",29,30,152,75,80,60,12,103,152,67.8,49,57,9,48,46,198,58,0
"47",5.5e+07,"MF",19,21.4,47,27,20,16,11,21,45,46.7,24,20,12,8,22,69,30,1
"48",5.5e+07,"MF",22,14.2,19,10,7,10,2,8,24,33.3,16,21,0,21,11,30,9,0
"49",5e+07,"MF",33,13.6,14,9,1,5,8,7,20,35,13,5,0,5,4,18,4,0
"50",5e+07,"FW",27,33.5,42,28,14,14,14,13,35,37.1,22,37,5,32,19,61,14,0
"51",1.7e+08,"FW",25,24,4,1,1,1,2,4,9,44.4,5,4,0,4,2,6,2,0
"52",6.5e+07,"DF",25,21.5,29,19,14,9,6,17,34,50,17,28,4,24,12,41,28,2
"53",6e+07,"MF",18,21.8,51,28,18,24,9,28,51,54.9,23,32,8,24,15,66,22,2
"54",5e+07,"FW",24,29.2,26,15,6,13,7,8,26,30.8,18,16,0,16,9,35,4,0
"55",4.5e+07,"DF",28,21.2,52,36,28,15,9,29,50,58,21,21,5,16,27,79,38,0
"56",4.5e+07,"MF",24,23.6,39,24,12,16,11,16,48,33.3,32,29,11,18,23,62,30,2
"57",4.5e+07,"MF",24,10.3,14,8,3,5,6,3,12,25,9,11,2,9,5,19,8,0
"58",4e+07,"DF",18,29.7,36,25,27,7,2,17,31,54.8,14,20,14,6,36,72,97,1
"59",4e+07,"GK",25,24.1,0,0,0,0,0,0,0,NA,0,0,0,0,1,1,9,4
"60",4e+07,"DF",29,18.1,24,18,17,7,0,14,22,63.6,8,19,10,9,12,36,51,2
"61",3.5e+07,"DF",24,29.5,58,28,35,17,6,34,56,60.7,22,34,15,19,38,96,97,1
"62",3.5e+07,"MF",23,23.4,42,29,13,23,6,20,40,50,20,21,10,11,18,60,37,0
"63",2.5e+07,"FW",24,21.7,7,4,0,5,2,3,12,25,9,14,1,13,3,10,15,0
"64",2.2e+07,"GK",22,33,3,0,3,0,0,3,4,75,1,1,0,1,0,3,11,2
"65",2.2e+07,"MF",23,28.6,26,13,4,15,7,14,32,43.8,18,23,6,17,18,44,28,1
"66",2.2e+07,"MF",23,16.3,26,13,7,9,10,15,36,41.7,21,7,0,7,6,32,3,0
"67",2e+07,"MF",20,0.7,6,2,1,4,1,3,4,75,1,0,0,0,2,8,0,0
"68",2e+07,"DF",26,13.7,24,16,8,13,3,13,21,61.9,8,7,2,5,16,40,35,0
"69",1.8e+07,"MF",25,19,31,20,17,12,2,12,23,52.2,11,19,11,8,12,43,47,1
"70",1.8e+07,"MF",24,18,21,18,5,11,5,11,29,37.9,18,14,2,12,6,27,6,0
"71",1.5e+07,"FW",30,21.2,18,12,8,4,6,11,30,36.7,19,20,2,18,6,24,8,1
"72",1.5e+07,"MF",27,22.2,18,7,6,10,2,10,20,50,10,26,2,24,8,26,4,0
"73",1.5e+07,"FW",23,5.5,8,6,3,4,1,4,10,40,6,4,0,4,3,11,3,0
"74",1.5e+07,"DF",24,18.8,29,20,12,15,2,24,32,75,8,16,8,8,21,50,49,1
"75",1.5e+07,"FW",25,25.4,32,18,9,15,8,14,36,38.9,22,17,1,16,8,40,8,0
"76",1.5e+07,"DF",31,23,47,20,22,19,6,26,49,53.1,23,17,3,14,36,83,46,0
"77",1.5e+07,"DF",29,24.5,33,21,25,7,1,17,30,56.7,13,21,13,8,13,46,95,1
"78",1.5e+07,"MF",31,16.3,48,31,18,25,5,13,32,40.6,19,21,4,17,30,78,25,0
"79",1.5e+07,"MF",29,9.5,23,12,9,12,2,14,26,53.8,12,16,4,12,15,38,18,0
"80",1.5e+07,"MF",31,24.3,38,22,19,13,6,18,39,46.2,21,20,4,16,13,51,25,0
"81",1.5e+07,"MF",26,20.2,28,16,8,17,3,13,37,35.1,24,31,4,27,12,40,4,0
"82",1.3e+07,"MF",26,15.4,39,27,17,19,3,22,32,68.8,10,21,3,18,33,72,32,1
"83",1.3e+07,"MF",26,8.8,7,3,3,4,0,4,7,57.1,3,9,2,7,11,18,17,0
"84",1.2e+07,"DF",23,29.5,69,38,28,30,11,37,63,58.7,26,46,12,34,42,111,46,0
"85",1.2e+07,"MF",24,13.4,25,11,9,14,2,11,32,34.4,21,6,1,5,11,36,8,0
"86",1.2e+07,"MF",27,24.1,61,39,18,34,9,33,61,54.1,28,21,7,14,14,75,33,0
"87",1e+07,"MF",27,14.6,19,11,6,9,4,4,15,26.7,11,10,1,9,5,24,5,0
"88",1e+07,"GK",29,32.7,0,0,0,0,0,0,2,0,2,0,0,0,0,0,10,1
"89",1e+07,"GK",24,34,0,0,0,0,0,0,1,0,1,0,0,0,1,1,19,3
"90",1e+07,"FW",31,30.2,33,15,11,14,8,10,36,27.8,26,23,1,22,14,47,7,0
"91",1e+07,"FW",23,15.3,28,11,9,10,9,17,37,45.9,20,15,2,13,6,34,7,0
"92",9e+06,"MF",24,17.9,41,19,16,22,3,21,30,70,9,15,1,14,11,52,15,0
