"","Team.x","Player","Value","Position.x","MP","Starts_Playing_Time","Min_Playing_Time","Mins_Per_90_Playing_Time","Gls_Per_Minutes","Age.x.x","Apps.x","Season.x","Comp.x","Nation.x","PK","Gls","Ast","G+A","xG_Expected.x","xAG_Expected","Sh_Standard","SoT_percent_Standard"
"1","Manchester City ","Erling Haaland",1.8e+08,"FW",31,29,2552,28.4,0.95,24,31,"2023-2024","Premier League","NOR",7,27,5,32,29.2,4.3,113,44.2
"2","Manchester City ","Phil Foden",1.5e+08,"FW",35,33,2857,31.7,0.6,24,35,"2023-2024","Premier League","ENG",0,19,8,27,10.3,8.4,105,45.7
"3","Arsenal ","Bukayo Saka",1.4e+08,"FW",35,35,2919,32.4,0.49,22,35,"2023-2024","Premier League","ENG",6,16,9,25,15.5,10.5,102,30.4
"4","Manchester City ","Rodri",1.3e+08,"MF",34,34,2931,32.6,0.25,28,34,"2023-2024","Premier League","ESP",0,8,9,17,4.1,3.9,62,35.5
"5","Arsenal ","Declan Rice",1.2e+08,"MF",38,37,3225,35.8,0.2,25,38,"2023-2024","Premier League","ENG",0,7,8,15,3.3,5.3,58,34.5
"6","Arsenal ","Martin Ødegaard",1.1e+08,"MF",35,35,3091,34.3,0.23,25,35,"2023-2024","Premier League","NOR",2,8,10,18,7.4,9.6,75,28
"7","Manchester City ","Julián Álvarez",9e+07,"FW",36,31,2647,29.4,0.37,24,36,"2023-2024","Premier League","ARG",2,11,8,19,13,6.4,96,38.5
"8","Newcastle United ","Bruno Guimarães",8.5e+07,"MF",37,37,3263,36.3,0.19,26,37,"2023-2024","Premier League","BRA",0,7,8,15,4.8,6.4,48,33.3
"9","Chelsea ","Cole Palmer",8e+07,"MF",1,0,11,0.1,0,22,34,"2023-2024","Premier League","ENG",0,0,0,0,0,0,0,NA
"10","Chelsea ","Cole Palmer",8e+07,"MF",1,0,11,0.1,0,22,34,"2023-2024","Premier League","ENG",0,0,0,0,0,0,100,37
"11","Chelsea ","Cole Palmer",8e+07,"MF",33,29,2607,29,0.76,22,34,"2023-2024","Premier League","ENG",9,22,11,33,18.2,11.1,0,NA
"12","Chelsea ","Cole Palmer",8e+07,"MF",33,29,2607,29,0.76,22,34,"2023-2024","Premier League","ENG",9,22,11,33,18.2,11.1,100,37
"13","Arsenal ","William Saliba",8e+07,"DF",38,38,3420,38,0.05,23,38,"2023-2024","Premier League","FRA",0,2,1,3,1.6,0.2,10,30
"14","Manchester City ","Rúben Dias",8e+07,"DF",30,28,2559,28.4,0,27,30,"2023-2024","Premier League","POR",0,0,0,0,1.4,0.3,20,40
"15","Manchester City ","Joško Gvardiol",7.5e+07,"DF",28,26,2328,25.9,0.15,22,28,"2023-2024","Premier League","CRO",0,4,1,5,3.1,1.4,32,40.6
"16","Newcastle United ","Alexander Isak",7.5e+07,"FW",30,27,2255,25.1,0.84,24,30,"2023-2024","Premier League","SWE",5,21,2,23,20.3,3.7,72,50
"17","Chelsea ","Enzo Fernández",7.5e+07,"MF",28,26,2209,24.5,0.12,23,28,"2023-2024","Premier League","ARG",1,3,2,5,6.2,3.4,45,28.9
"18","Liverpool ","Dominik Szoboszlai",7.5e+07,"MF",33,25,2104,23.4,0.13,23,33,"2023-2024","Premier League","HUN",0,3,2,5,3.7,5.8,60,25
"19","Liverpool ","Alexis Mac Allister",7.5e+07,"MF",33,31,2599,28.9,0.17,25,33,"2023-2024","Premier League","ARG",1,5,5,10,3.7,3.6,43,18.6
"20","Liverpool ","Luis Díaz",7.5e+07,"FW",37,32,2629,29.2,0.27,27,37,"2023-2024","Premier League","COL",0,8,5,13,11.9,5.7,94,34
"21","Chelsea ","Moisés Caicedo",7.5e+07,"MF",35,33,2866,31.8,0.03,22,35,"2023-2024","Premier League","ECU",0,1,3,4,0.4,2.6,13,30.8
"22","Manchester City ","Bernardo Silva",7e+07,"MF",33,29,2578,28.6,0.21,30,33,"2023-2024","Premier League","POR",0,6,9,15,3.7,7.6,34,44.1
"23","Arsenal ","Kai Havertz",7e+07,"MF",37,30,2634,29.3,0.44,25,37,"2023-2024","Premier League","GER",1,13,7,20,12.3,4.4,68,39.7
"24","Arsenal ","Gabriel Martinelli",7e+07,"FW",35,24,2019,22.4,0.27,23,35,"2023-2024","Premier League","BRA",0,6,4,10,6.8,6.1,58,34.5
"25","Arsenal ","Gabriel Magalhães",7e+07,"DF",36,34,3044,33.8,0.12,26,36,"2023-2024","Premier League","BRA",0,4,0,4,4.3,0.7,31,32.3
"26","Aston Villa ","Douglas Luiz",7e+07,"MF",NA,35,2993,33.3,0.27,26,35,"2023-2024","Premier League","BRA",4,9,5,14,6.9,5.4,44,29.5
"27","Tottenham Hotspur ","James Maddison",7e+07,"MF",28,26,2135,23.7,0.17,27,28,"2023-2024","Premier League","ENG",0,4,9,13,6.4,5.9,58,39.7
"28","Liverpool ","Trent Alexander-Arnold",7e+07,"DF",28,25,2155,23.9,0.13,25,28,"2023-2024","Premier League","ENG",0,3,4,7,2.6,7.2,47,17
"29","Liverpool ","Darwin Núñez",7e+07,"FW",36,22,2047,22.7,0.48,25,36,"2023-2024","Premier League","URU",0,11,8,19,16.3,6,107,43
"30","Manchester United ","Bruno Fernandes",7e+07,"MF",NA,35,3118,34.6,0.29,29,35,"2023-2024","Premier League","POR",4,10,8,18,10,11.8,90,38.9
"31","West Ham United ","Lucas Paquetá",6.5e+07,"MF",31,31,2622,29.1,0.14,27,31,"2023-2024","Premier League","BRA",2,4,6,10,5.4,5.4,40,20
"32","Aston Villa ","Ollie Watkins",6.5e+07,"FW",NA,37,3217,35.7,0.53,28,37,"2023-2024","Premier League","ENG",0,19,13,32,16.8,7.3,107,43.9
