"","Value","Position","Age.x","Mins_Per_90","Cmp_Total","Att_Total","Cmp_percent_Total","TotDist_Total","PrgDist_Total","Ast","xAG","xA_Expected","KP","Final_Third","PPA","CrsPA","PrgP","Squad","Pos","Age.y"
"1",1.8e+08,"FW",24,28.4,295,388,76,3234,567,5,4.3,2.2,29,16,11,0,26,NA,NA,NA
"2",1.5e+08,"FW",24,31.7,1511,1767,85.5,20347,3769,8,8.4,6.9,73,71,57,5,168,NA,NA,NA
"3",1.4e+08,"FW",22,32.4,1143,1512,75.6,16891,4402,9,10.5,11,91,39,73,12,126,NA,NA,NA
"4",1.3e+08,"MF",28,32.6,3365,3656,92,57256,15766,9,3.9,6.1,49,378,61,0,376,NA,NA,NA
"5",1.2e+08,"MF",25,35.8,2041,2295,88.9,34242,9378,8,5.3,4.8,47,240,39,2,278,NA,NA,NA
"6",1.1e+08,"MF",25,34.3,1692,2006,84.3,25780,7898,10,9.6,11.2,102,160,130,13,344,NA,NA,NA
"7",9e+07,"FW",24,29.4,1011,1258,80.4,13977,2992,8,6.4,6.3,67,43,41,4,103,NA,NA,NA
"8",8.5e+07,"MF",26,36.3,1941,2313,83.9,33351,9336,8,6.4,6.3,62,184,70,5,283,NA,NA,NA
"9",8e+07,"MF",22,0.1,4,5,80,51,0,0,0,0,0,0,0,0,0,NA,NA,NA
"10",8e+07,"MF",22,29,1121,1415,79.2,18622,5642,11,11.1,8.7,72,136,69,5,197,NA,NA,NA
"11",8e+07,"DF",23,38,2635,2851,92.4,43599,15948,1,0.2,0.9,6,175,6,1,157,NA,NA,NA
"12",8e+07,"DF",27,28.4,2469,2635,93.7,42764,13568,0,0.3,1.9,7,220,12,3,173,NA,NA,NA
"13",7.5e+07,"DF",22,25.9,1671,1919,87.1,25207,6169,1,1.4,2.1,18,141,16,3,136,NA,NA,NA
"14",7.5e+07,"FW",24,25.1,385,493,78.1,5446,1167,2,3.7,2.8,27,28,21,0,71,NA,NA,NA
"15",7.5e+07,"MF",23,24.5,1574,1862,84.5,28776,8415,2,3.4,3.7,32,177,43,4,210,NA,NA,NA
"16",7.5e+07,"MF",23,23.4,1280,1550,82.6,20367,4929,2,5.8,5.1,56,98,33,6,152,NA,NA,NA
"17",7.5e+07,"MF",25,28.9,1704,1967,86.6,26565,7659,5,3.6,4.9,47,162,41,2,209,NA,NA,NA
"18",7.5e+07,"FW",27,29.2,898,1075,83.5,13772,2931,5,5.7,4.7,64,62,45,3,113,NA,NA,NA
"19",7.5e+07,"MF",22,31.8,1907,2119,90,29696,8181,3,2.6,2,23,176,20,0,173,NA,NA,NA
"20",7e+07,"MF",30,28.6,1671,1936,86.3,25138,5246,9,7.6,8,64,100,49,10,177,NA,NA,NA
"21",7e+07,"MF",25,29.3,764,955,80,9583,2405,7,4.4,4.3,46,65,29,1,99,NA,NA,NA
"22",7e+07,"FW",23,22.4,724,929,77.9,11003,2008,4,6.1,5.2,46,22,33,7,65,NA,NA,NA
"23",7e+07,"DF",26,33.8,1914,2157,88.7,32123,10388,0,0.7,0.7,3,143,9,1,117,NA,NA,NA
"24",7e+07,"MF",26,33.3,1800,2101,85.7,31199,7807,5,5.4,5.3,53,137,39,8,168,NA,NA,NA
"25",7e+07,"MF",27,23.7,1210,1500,80.7,19513,6251,9,5.9,6.3,67,130,59,3,224,NA,NA,NA
"26",7e+07,"DF",25,23.9,1553,2062,75.3,30386,12434,4,7.2,6.1,64,202,57,18,205,NA,NA,NA
"27",7e+07,"FW",25,22.7,341,493,69.2,4780,1020,8,6,4.5,33,23,26,0,54,NA,NA,NA
