"","Value","Position","Age.x","MP","Starts_Playing_Time","Min_Playing_Time","Gls","Ast","G+A","PK","xG_Expected","xAG_Expected","npxG+xAG_Expected","Squad","Pos","Age.y"
"1",1.8e+08,"FW",24,31,29,2552,27,5,32,7,29.2,4.3,27.2,NA,NA,NA
"2",1.5e+08,"FW",24,35,33,2857,19,8,27,0,10.3,8.4,18.7,NA,NA,NA
"3",1.4e+08,"FW",22,35,35,2919,16,9,25,6,15.5,10.5,21.2,NA,NA,NA
"4",1.3e+08,"MF",28,34,34,2931,8,9,17,0,4.1,3.9,8,NA,NA,NA
"5",1.2e+08,"MF",25,38,37,3225,7,8,15,0,3.3,5.3,8.6,NA,NA,NA
"6",1.1e+08,"MF",25,35,35,3091,8,10,18,2,7.4,9.6,15.5,NA,NA,NA
"7",9e+07,"FW",24,36,31,2647,11,8,19,2,13,6.4,17.9,NA,NA,NA
"8",8.5e+07,"MF",26,37,37,3263,7,8,15,0,4.8,6.4,11.2,NA,NA,NA
"9",8e+07,"MF",22,1,0,11,0,0,0,0,0,0,0,NA,NA,NA
"10",8e+07,"MF",22,33,29,2607,22,11,33,9,18.2,11.1,22.2,NA,NA,NA
"11",8e+07,"DF",23,38,38,3420,2,1,3,0,1.6,0.2,1.8,NA,NA,NA
"12",8e+07,"DF",27,30,28,2559,0,0,0,0,1.4,0.3,1.7,NA,NA,NA
"13",7.5e+07,"DF",22,28,26,2328,4,1,5,0,3.1,1.4,4.5,NA,NA,NA
"14",7.5e+07,"FW",24,30,27,2255,21,2,23,5,20.3,3.7,19.3,NA,NA,NA
"15",7.5e+07,"MF",23,28,26,2209,3,2,5,1,6.2,3.4,8,NA,NA,NA
"16",7.5e+07,"MF",23,33,25,2104,3,2,5,0,3.7,5.8,9.5,NA,NA,NA
"17",7.5e+07,"MF",25,33,31,2599,5,5,10,1,3.7,3.6,6.4,NA,NA,NA
"18",7.5e+07,"FW",27,37,32,2629,8,5,13,0,11.9,5.7,17.5,NA,NA,NA
"19",7.5e+07,"MF",22,35,33,2866,1,3,4,0,0.4,2.6,3,NA,NA,NA
"20",7e+07,"MF",30,33,29,2578,6,9,15,0,3.7,7.6,11.3,NA,NA,NA
