Team,Player,Value,Position,Age,,
Bayern München ,Jamal Musiala,140000000,MF,21,,
Bayer Leverkusen ,Florian Wirtz,140000000,MF,21,,
Bayern München ,Harry Kane,90000000,FW,31,,
RB Leipzig ,Xavi Simons,80000000,MF,21,,
RB Leipzig ,Dani Olmo,60000000,MF,26,,
RB Leipzig ,Lois Openda,60000000,FW,24,,
Eintracht Frankfurt ,Omar Marmoush,60000000,FW,25,,
Bayern München ,Ryan Gravenberch,55000000,MF,22,,
Bayern München ,Dayot Upamecano,50000000,DF,26,,
Bayern München ,Alphonso Davies,50000000,DF,24,,
Bayern München ,Joshua Kimmich,50000000,DF,29,,
Bayer Leverkusen ,Jeremie Frimpong,50000000,MF,23,,
RB Leipzig ,Castello Lukeba,50000000,DF,21,,
Borussia Dortmund ,Jamie Bynoe-Gittens,50000000,FW,20,,
RB Leipzig ,Benjamin Šeško,50000000,FW,21,,
Bayern München ,Min-Jae Kim,45000000,DF,27,,
Bayern München ,Leroy Sané,45000000,FW,28,,
Bayern München ,Matthijs de Ligt,45000000,DF,25,,
Bayer Leverkusen ,Victor Boniface,45000000,FW,23,,
Stuttgart ,Enzo Millot,42000000,MF,22,,
Bayern München ,Benjamin Pavard,40000000,DF,28,,
Bayer Leverkusen ,Álex Grimaldo,40000000,DF,29,,
Bayer Leverkusen ,Edmond Tapsoba,40000000,DF,25,,
Bayer Leverkusen ,Exequiel Palacios,40000000,MF,26,,
Stuttgart ,Sehrou Guirassy,40000000,FW,28,,
Borussia Dortmund ,Gregor Kobel,40000000,GK,26,,
Borussia Dortmund ,Nico Schlotterbeck,40000000,DF,24,,
Eintracht Frankfurt ,Willian Pacho,40000000,DF,23,,
Bayer Leverkusen ,Piero Hincapié,40000000,DF,22,,
Eintracht Frankfurt ,Hugo Ekitike,40000000,FW,22,,
Bayern München ,Kingsley Coman,35000000,FW,28,,
Borussia Dortmund ,Julian Brandt,35000000,MF,28,,
Borussia Dortmund ,Karim Adeyemi,35000000,FW,22,,
Eintracht Frankfurt ,Hugo Larsson,35000000,MF,20,,
Bayern München ,Serge Gnabry,35000000,FW,29,,
Bayern München ,Noussair Mazraoui,32000000,DF,26,,
Stuttgart ,Angelo Stiller,32000000,MF,23,,
Borussia Dortmund ,Ian Maatsen,32000000,DF,22,,
Bayern München ,Mathys Tel,30000000,FW,19,,
Bayer Leverkusen ,Jonathan Tah,30000000,DF,28,,
Bayer Leverkusen ,Kossonou Odilon,30000000,DF,23,,
Hoffenheim ,Maximilian Beier,30000000,FW,22,,
Stuttgart ,Hiroki Ito,30000000,DF,25,,
Eintracht Frankfurt ,Randal Kolo Muani,30000000,FW,25,,
Borussia Dortmund ,Jadon Sancho,30000000,FW,24,,
RB Leipzig ,Mohamed Simakan,28000000,DF,24,,
RB Leipzig ,Xaver Schlager,28000000,MF,27,,
Augsburg ,Ermedin Demirović,28000000,FW,26,,
Borussia Dortmund ,Donyell Malen,28000000,FW,25,,
Borussia Dortmund ,Felix Nmecha,28000000,MF,24,,
