Team ,Player,Value,Position,Age,Apps,,,
Real Madrid ,Vinicius Junior,200000000,FW,24,26,,,
Real Madrid ,Jude Bellingham,180000000,MF,21,28,,,
FC Barcelona ,Lamine Yamal,180000000,FW,17,37,,,
Real Madrid ,Federico Valverde,130000000,MF,26,37,,,
Real Madrid ,Rodrygo,100000000,FW,23,34,,,
FC Barcelona ,Pedri,100000000,MF,21,24,,,
Real Madrid ,Aurélien Tchouaméni,80000000,MF,24,27,,,
Real Madrid ,Eduardo Camavinga,80000000,MF,22,31,,,
FC Barcelona ,Raphinha,80000000,FW,28,28,,,
FC Barcelona ,Gavi,80000000,MF,20,12,,,
Athletic Club Bilbao ,Nico Williams,70000000,FW,22,31,,,
FC Barcelona ,Pau Cubarsí,70000000,DF,17,19,,,
Real Sociedad ,Martín Zubimendi,60000000,MF,25,31,,,
FC Barcelona ,Jules Koundé,60000000,DF,26,35,,,
Girona FC ,Sávio,55000000,FW,20,37,,,
FC Barcelona ,Ronald Araújo,55000000,DF,25,25,,,
Athletic Club Bilbao ,Oihan Sancet,50000000,MF,24,30,,,
Villarreal ,Álex Baena,50000000,FW,23,34,,,
FC Barcelona ,Alejandro Balde,50000000,DF,21,18,,,
FC Barcelona ,Fermín López,50000000,MF,21,31,,,
Atlético Madrid ,Pablo Barrios,50000000,MF,21,24,,,
Deportivo Alavés ,Samu Omorodion,50000000,FW,20,35,,,
FC Barcelona ,Frenkie de Jong,45000000,MF,27,20,,,
Real Sociedad ,Mikel Merino,45000000,MF,28,32,,,
Real Madrid ,Arda Guler,45000000,MF,19,10,,,
Valencia CF ,Giorgi Mamardashvili,40000000,GK,24,37,,,
Real Sociedad ,Robin Le Normand,40000000,DF,28,29,,,
Real Sociedad ,Takefusa Kubo,40000000,FW,23,30,,,
Athletic Club Bilbao ,Dani Vivian,40000000,DF,25,33,,,
Real Madrid ,Éder Militão,40000000,DF,26,10,,,
Real Sociedad ,Brais Méndez,35000000,MF,27,32,,,
Real Sociedad ,Mikel Oyarzabal,35000000,FW,27,33,,,
Real Madrid ,Brahim Diaz,35000000,MF,25,31,,,
Getafe CF ,Mason Greenwood,35000000,MF,23,33,,,
Girona FC ,Artem Dovbyk,30000000,FW,27,36,,,
FC Barcelona ,Marc Casadó,30000000,MF,21,2,,,
FC Barcelona ,João Félix,30000000,FW,25,30,,,
Valencia CF ,Cristhian Mosquera,30000000,DF,20,36,,,
Villarreal ,Yeremy Pino,30000000,FW,22,7,,,
Athletic Club Bilbao ,Unai Simón,28000000,GK,27,36,,, 
FC Barcelona ,Ferrán Torres,28000000,FW,24,29,,,
Atlético Madrid ,Marcos Llorente,28000000,MF,29,37,,,
Celta de Vigo ,Jørgen Strand Larsen,27000000,FW,24,37,,,
Sevilla FC ,Loïc Badé,25000000,DF,24,28,,,
Real Sociedad ,Álex Remiro,25000000,GK,29,37,,,
Girona FC ,Miguel Gutiérrez,25000000,DF,23,35,,,
Girona FC ,Yan Couto,25000000,DF,22,34,,,
Villarreal ,Alexander Sørloth,25000000,FW,28,34,,,
Atlético Madrid ,Jan Oblak,25000000,GK,31,38,,,
Atlético Madrid ,Rodrigo De Paul,25000000,MF,30,34,,,
