Team,Player,Value,Position,Age,,
PSG ,Achraf Hakimi,65000000,DF,25,,
PSG ,Manuel Ugarte,60000000,MF,23,,
PSG ,Warren Zaïre-Emery,60000000,MF,18,,
Lille ,Jonathan David,50000000,FW,24,,
PSG ,Lucas Hernández,45000000,DF,28,,
PSG ,Vitinha,45000000,MF,24,,
Lille ,Leny Yoro,40000000,DF,18,,
PSG ,Gianluigi Donnarumma,40000000,GK,25,,
PSG ,Milan Škriniar,40000000,DF,29,,
Nice ,Jean-Clair Todibo,35000000,DF,24,,
Nice ,Khéphren Thuram,35000000,MF,23,,
Nice ,Terem Moffi,25000000,FW,24,,
Olympique Marseille ,Matteo Guendouzi,25000000,MF,25,,
Lille ,Lucas Chevalier,22000000,GK,22,,
Lille ,Angel Gomes,22000000,MF,23,,
PSG ,Lee Kang-in,22000000,MF,23,,
Lille ,Carlos Baleba,20000000,MF,20,,
Olympique Marseille ,Renan Lodi,20000000,DF,26,,
Olympique Marseille ,Ismaïla Sarr,20000000,MF,26,,
Nice ,Marcin Bulka,18000000,GK,24,,
Nice ,Youssouf Ndayishimiye,18000000,MF,25,,
Olympique Marseille ,Iliman Ndiaye,18000000,MF,24,,
Nice ,Gaëtan Laborde,15000000,FW,30,,
Nice ,Jeremie Boga,15000000,MF,27,,
Nice ,Sofiane Diop,15000000,FW,23,,
Lille ,Bafodé Diakité,15000000,DF,24,,
Lille ,Edon Zhegrova,15000000,FW,25,,
Olympique Marseille ,Jonathan Clauss,15000000,DF,31,,
Olympique Marseille ,Chancel Mbemba,15000000,DF,29,,
Olympique Marseille ,Geoffrey Kondogbia,15000000,MF,31,,
Olympique Marseille ,Valentin Rongier,15000000,MF,29,,
Olympique Marseille ,Vítor Manuel Carvalho Oliveira,15000000,FW,24,,
Olympique Marseille ,Jordan Veretout,15000000,MF,31,,
Olympique Marseille ,Amine Harit,15000000,MF,26,,
Rennes ,Azor Matusiwa,13000000,MF,26,,
Nice ,Melvin Bard,12000000,DF,23,,
Olympique Marseille ,Azzedine Ounahi,12000000,MF,24,,
Reims ,Marshall Munetsi,12000000,MF,27,,
Lille ,Yusuf Yazıcı,10000000,MF,27,,
Olympique Marseille ,Pau López,10000000,GK,29,,
Reims ,Yehvann Diouf,10000000,GK,24,,
Reims ,Junya Ito,10000000,FW,31,,
Reims ,Keito Nakamura,10000000,FW,23,,
Nice ,Hicham Boudaoui,9000000,MF,24,,
Olympique Marseille ,Samuel Gigot,9000000,DF,30,,
Reims ,Joseph Okumu,9000000,DF,26,,
PSG ,Danilo Pereira,9000000,MF,32,,
Nice ,Jordan Lotomba,8000000,DF,25,,
Nice ,Evann Guessand,8000000,FW,22,,
Lille ,Tiago Santos,8000000,DF,21,,
