Team,Player,Value,Position,Age,,
Porto ,Diogo Costa,45000000,GK,24,,
Benfica ,António Silva,45000000,DF,19,,
Porto ,Otávio Edmilson,35000000,MF,28,,
Benfica ,Orkun Kökçü,35000000,MF,22,,
Sporting CP ,Pedro Gonçalves,32000000,MF,25,,
Sporting CP ,Viktor Gyökeres,32000000,FW,25,,
Sporting CP ,Gonçalo Inácio,30000000,DF,22,,
Sporting CP ,Marcus Edwards,30000000,FW,24,,
Sporting CP ,Ousmane Diomande,25000000,DF,19,,
Porto ,Eduardo Gabriel Aquino Cossa,25000000,FW,26,,
Benfica ,David Neres,25000000,FW,26,,
Sporting CP ,Morten Hjulmand,24000000,MF,24,,
Benfica ,Gonçalo Guedes,23000000,FW,26,,
Benfica ,Rafa Silva,22000000,MF,30,,
Benfica ,Anatolii Trubin,22000000,GK,22,,
Porto ,Evanilson,22000000,FW,24,,
Sporting Braga ,Ricardo Horta,20000000,FW,29,,
Porto ,Wenderson Galeno,20000000,FW,26,,
Benfica ,Fredrik Aursnes,20000000,MF,27,,
Benfica ,João Neves,20000000,MF,19,,
Benfica ,Florentino Luís,20000000,MF,24,,
Benfica ,Arthur Cabral,20000000,FW,25,,
Porto ,Mehdi Taremi,18000000,FW,31,,
Sporting Braga ,Al-Musrati,16000000,MF,27,,
Porto ,João Mário,16000000,DF,23,,
Benfica ,Odysseas Vlachodimos,16000000,GK,29,,
Sporting CP ,Iván Fresneda,15000000,DF,19,,
Sporting Braga ,Abel Ruiz,14000000,FW,23,,
Porto ,David Carmo,14000000,DF,24,,
Benfica ,Alexander Bah,14000000,DF,25,,
Benfica ,João Mário,14000000,MF,30,,
Sporting CP ,Nuno Santos,14000000,MF,28,,
Porto ,Fran Navarro,13000000,FW,25,,
Sporting CP ,Hidemasa Morita,12000000,MF,28,,
Sporting CP ,Francisco Trincão,12000000,FW,23,,
Porto ,Stephen Eustáquio,12000000,MF,26,,
Porto ,Nico González,10000000,MF,21,,
Porto ,Iván Jaime,10000000,MF,23,,
Benfica ,Juan Bernat,10000000,DF,30,,
Porto ,Marko Grujić,9000000,MF,27,,
Benfica ,Andreas Schjelderup,9000000,MF,19,,
Porto ,Alan Varela,9000000,MF,22,,
Sporting Braga ,Simon Banza,8000000,FW,27,,
Sporting CP ,Matheus Reis,8000000,DF,28,,
Benfica ,Ángel Di María,8000000,MF,35,,
Benfica ,Petar Musa,8000000,FW,25,,
Porto ,Francisco Conceição,8000000,FW,20,,
Sporting Braga ,Víctor Gómez,7000000,DF,23,,
Porto ,Toni Martínez,7000000,FW,26,,
Benfica ,João Victor,7000000,DF,25,,
