Team,Player,Value,Position,Age,Apps,,
Manchester City ,Erling Haaland,180000000.00,FW,24,31,,
Manchester City ,Phil Foden,150000000.00,FW,24,35,,
Arsenal ,Bukayo Saka,140000000.00,FW,22,35,,
Manchester City ,Rodri,130000000.00,MF,28,34,,
Arsenal ,Declan Rice,120000000.00,MF,25,38,,
Arsenal ,Martin Ødegaard,110000000.00,MF,25,35,,
Manchester City ,Julián Álvarez,90000000.00,FW,24,36,,
Newcastle United ,Bruno Guimarães,85000000.00,MF,26,37,,
Chelsea ,Cole Palmer,80000000.00,MF,22,34,,
Arsenal ,William Saliba,80000000.00,DF,23,38,,
Manchester City ,Rúben Dias,80000000.00,DF,27,30,,
Manchester City ,Joško Gvardiol,75000000.00,DF,22,28,,
Newcastle United ,Alexander Isak,75000000.00,FW,24,30,,
Chelsea ,Enzo Fernández,75000000.00,MF,23,28,,
Liverpool ,Dominik Szoboszlai,75000000.00,MF,23,33,,
Liverpool ,Alexis Mac Allister,75000000.00,MF,25,33,,
Liverpool ,Luis Díaz,75000000.00,FW,27,37,,
Chelsea ,Moisés Caicedo,75000000.00,MF,22,35,,
Manchester City ,Bernardo Silva,70000000.00,MF,30,33,,
Arsenal ,Kai Havertz,70000000.00,MF,25,37,,
Arsenal ,Gabriel Martinelli,70000000.00,FW,23,35,,
Arsenal ,Gabriel Magalhães,70000000.00,DF,26,36,,
Aston Villa ,Douglas Luiz,70000000.00,MF,26,35,,
Tottenham Hotspur ,James Maddison,70000000.00,MF,27,28,,
Liverpool ,Trent Alexander-Arnold,70000000.00,DF,25,28,,
Liverpool ,Darwin Núñez,70000000.00,FW,25,36,,
Manchester United ,Bruno Fernandes,70000000.00,MF,29,35,,
West Ham United ,Lucas Paquetá,65000000.00,MF,27,31,,
Aston Villa ,Ollie Watkins,65000000.00,FW,28,37,,
Tottenham Hotspur ,Cristian Romero,65000000.00,DF,26,33,,
Arsenal ,Gabriel Jesus,65000000.00,FW,27,27,,
Manchester City ,Jeremy Doku,65000000.00,FW,22,29,,
Manchester United ,Rasmus Højlund,65000000.00,FW,21,30,,
Chelsea ,Christopher Nkunku,65000000.00,MF,26,11,,
Manchester City ,Jack Grealish,60000000.00,FW,28,20,,
Newcastle United ,Anthony Gordon,60000000.00,FW,23,35,,
Manchester United ,Marcus Rashford,60000000.00,FW,26,33,,
Arsenal ,Ben White,55000000.00,DF,26,37,,
Crystal Palace ,Eberechi Eze,55000000.00,MF,26,27,,
Aston Villa ,Moussa Diaby,55000000.00,FW,25,38,,
Tottenham Hotspur ,Mickey van de Ven,55000000.00,DF,23,27,,
Tottenham Hotspur ,Dejan Kulusevski,55000000.00,FW,24,36,,
Liverpool ,Mohamed Salah,55000000.00,FW,32,32,,
Liverpool ,Cody Gakpo,55000000.00,FW,25,35,,
Wolverhampton Wanderers ,Pedro Neto,55000000.00,FW,24,20,,
Fulham ,João Palhinha,55000000.00,MF,29,33,,
Manchester United ,Kobbie Mainoo,55000000.00,MF,19,24,,
Crystal Palace ,Michael Olise,55000000.00,MF,22,19,,
Manchester City ,Kevin De Bruyne,50000000.00,MF,33,18,,
West Ham United ,Jarrod Bowen,50000000.00,FW,27,34,,
,,,,,,,
,,,,,,,
,,,,,,,
