Team,Player,Value,Position,Age,,
Inter Milan ,Lautaro Martínez,100000000,FW,27,,
Napoli ,Khvicha Kvaratskhelia,85000000,MF,23,,
Inter Milan ,Nicolò Barella,80000000,MF,27,,
Napoli ,Victor Osimhen,75000000,FW,25,,
Inter Milan ,Alessandro Bastoni,75000000,DF,25,,
Inter Milan ,Marcus Thuram,75000000,FW,27,,
AC Milan ,Rafael Leão,75000000,FW,25,,
Inter Milan ,Federico Dimarco,60000000,DF,27,,
Juventus ,Gleison Bremer,60000000,DF,27,,
Juventus ,Dušan Vlahović,60000000,FW,24,,
Atalanta ,Ademola Lookman,55000000,FW,27,,
Atalanta ,Teun Koopmeiners,50000000,MF,26,,
Atalanta ,Éderson,50000000,MF,25,,
AC Milan ,Theo Hernández,50000000,DF,27,,
AC Milan ,Christian Pulisic,50000000,MF,26,,
AC Milan ,Tijani Reijnders,50000000,MF,26,,
Atalanta ,Giorgio Scalvini,45000000,DF,20,,
Juventus ,Kenan Yıldız,45000000,MF,19,,
Torino ,Alessandro Buongiorno,45000000,DF,25,,
Bologna ,Riccardo Calafiori,45000000,DF,22,,
Bologna ,Joshua Zirkzee,42000000,FW,23,,
Inter Milan ,Hakan Çalhanoğlu,40000000,MF,30,,
Juventus ,Andrea Cambiaso,40000000,DF,24,,
Inter Milan ,Benjamin Pavard,40000000,DF,28,,
Atalanta ,Charles De Ketelaere,38000000,MF,23,,
Genoa ,Mateo Retegui,35000000,FW,25,,
Fiorentina ,Nicolás González,35000000,MF,26,,
AC Milan ,Mike Maignan,35000000,GK,29,,
Inter Milan ,Davide Frattesi,32000000,MF,25,,
Lazio ,Matteo Guendouzi,32000000,MF,25,,
Inter Milan ,Yann Aurel Bisseck,30000000,DF,23,,
Atalanta ,Gianluca Scamacca,30000000,FW,25,,
Atalanta ,Isak Hien,30000000,MF,25,,
Juventus ,Moise Kean,30000000,FW,24,,
Napoli ,Stanislav Lobotka,28000000,MF,29,,
Genoa ,Albert Gudmundsson,28000000,FW,27,,
Juventus ,Manuel Locatelli,28000000,MF,26,,
Lazio ,Mario Gila,28000000,DF,24,,
Torino ,Samuele Ricci,28000000,MF,23,,
Napoli ,André-Frank Zambo Anguissa,27000000,MF,28,,
AC Milan ,Pierre Kalulu,26000000,DF,24,,
Genoa ,Radu Drăgușin,25000000,DF,22,,
Fiorentina ,Nikola Milenković,25000000,DF,27,,
Roma ,Obite Evan N'Dicka,25000000,DF,25,,
Juventus ,Adrien Rabiot,25000000,MF,29,,
Juventus ,Federico Gatti,25000000,DF,26,,
Lazio ,Nicolò Rovella,25000000,MF,22,,
Bologna ,Dan Ndoye,25000000,FW,24,,
Roma ,Romelu Lukaku,25000000,FW,31,,
Bologna ,Santiago Thomas Castro,25000000,FW,20,,
